StartTime,EndTime,TotalPackets,TotalBytes,PPS,BPS,UniqueSrcIPs,UniqueDstIPs,UniqueSrcPorts,UniqueDstPorts,ActiveFlows,CntSYN,CntACK,CntFIN,CntRST,CntPSH,CntURG
2015-02-18 14:58:50.000,14:59:00.000,27174,16689350,2717.40,1668935.00,34,35,337,334,243,656,26506,664,0,10814,0
2015-02-18 14:59:00.000,14:59:10.000,13308,4712175,1330.80,471217.50,34,34,328,324,240,628,12580,632,0,5702,0
2015-02-18 14:59:10.000,14:59:20.000,22186,10682679,2218.60,1068267.90,33,33,361,358,267,724,21392,688,0,9104,0
2015-02-18 14:59:20.000,14:59:30.000,22864,12102245,2286.40,1210224.50,32,30,362,353,271,676,22092,704,0,9226,0
2015-02-18 14:59:30.000,14:59:40.000,24214,14150764,2421.40,1415076.40,34,33,323,321,250,644,23496,668,0,9530,0
2015-02-18 14:59:40.000,14:59:50.000,28212,16976846,2821.20,1697684.60,31,30,333,331,239,660,27468,596,0,11284,0
2015-02-18 14:59:50.000,15:00:00.000,27898,18172058,2789.80,1817205.80,34,33,300,298,232,564,27258,592,0,10758,0
2015-02-18 15:00:00.000,15:00:10.000,22631,12772369,2263.10,1277236.90,31,31,329,325,245,658,21956,656,0,9106,0
2015-02-18 15:00:10.000,15:00:20.000,22638,13471816,2263.80,1347181.60,34,33,343,341,255,658,21874,664,0,8716,0
2015-02-18 15:00:20.000,15:00:30.000,19208,9780746,1920.80,978074.60,34,33,354,351,254,684,18498,676,0,7658,0
2015-02-18 15:00:30.000,15:00:40.000,25212,13936037,2521.20,1393603.70,36,35,325,323,244,632,24528,624,0,10168,0
2015-02-18 15:00:40.000,15:00:50.000,29335,17570772,2933.50,1757077.20,34,34,358,353,269,726,28618,652,0,11442,0
2015-02-18 15:00:50.000,15:01:00.000,29766,20014513,2976.60,2001451.30,33,32,342,340,273,654,29056,668,0,11104,0
2015-02-18 15:01:00.000,15:01:10.000,27628,15842672,2762.80,1584267.20,34,33,367,365,268,676,26938,704,0,11050,0
2015-02-18 15:01:10.000,15:01:20.000,28412,17931924,2841.20,1793192.40,33,34,346,343,266,646,27670,676,0,10992,0
2015-02-18 15:01:20.000,15:01:30.000,23254,13593083,2325.40,1359308.30,33,32,333,330,240,644,22616,670,0,9280,0
2015-02-18 15:01:30.000,15:01:40.000,18312,9794330,1831.20,979433.00,33,32,316,314,230,606,17666,606,0,7314,0
2015-02-18 15:01:40.000,15:01:50.000,23638,13527121,2363.80,1352712.10,33,32,343,340,264,676,22856,680,0,9240,0
2015-02-18 15:01:50.000,15:02:00.000,18533,8036174,1853.30,803617.40,32,32,335,330,253,664,17814,640,0,7560,0
2015-02-18 15:02:00.000,15:02:10.000,25398,14692975,2539.80,1469297.50,35,34,339,336,249,692,24732,692,0,10140,0
2015-02-18 15:02:10.000,15:02:20.000,26054,15264322,2605.40,1526432.20,34,33,334,332,252,648,25370,640,0,10366,0
2015-02-18 15:02:20.000,15:02:30.000,27962,16735319,2796.20,1673531.90,33,33,339,337,255,652,27232,648,0,11054,0
2015-02-18 15:02:30.000,15:02:40.000,30512,18426942,3051.20,1842694.20,32,31,341,338,258,672,29816,660,0,12098,0
2015-02-18 15:02:40.000,15:02:50.000,28806,18566067,2880.60,1856606.70,34,33,370,368,286,760,28048,680,0,10964,0
2015-02-18 15:02:50.000,15:03:00.000,29374,17883906,2937.40,1788390.60,34,34,378,375,286,724,28648,724,0,11452,0
2015-02-18 15:03:00.000,15:03:10.000,28572,18428612,2857.20,1842861.20,34,33,355,352,272,616,27828,648,0,10944,0
2015-02-18 15:03:10.000,15:03:20.000,28596,16547447,2859.60,1654744.70,33,33,343,337,255,642,27956,660,0,11496,0
2015-02-18 15:03:20.000,15:03:30.000,27624,16845898,2762.40,1684589.80,31,31,335,330,251,582,26914,652,0,10918,0
2015-02-18 15:03:30.000,15:03:40.000,24536,14176892,2453.60,1417689.20,34,33,332,330,261,676,23802,648,0,9708,0
2015-02-18 15:03:40.000,15:03:50.000,29202,18984944,2920.20,1898494.40,34,33,340,335,251,616,28450,612,0,11220,0
2015-02-18 15:03:50.000,15:04:00.000,23852,12557030,2385.20,1255703.00,31,31,349,347,261,664,23126,680,0,9750,0
2015-02-18 15:04:00.000,15:04:10.000,23620,12492942,2362.00,1249294.20,32,31,343,341,249,672,22918,656,0,9686,0
2015-02-18 15:04:10.000,15:04:20.000,26956,16487199,2695.60,1648719.90,30,31,357,353,280,700,26160,684,0,10378,0
2015-02-18 15:04:20.000,15:04:30.000,28908,17969661,2890.80,1796966.10,33,33,341,338,261,640,28172,652,0,11376,0
2015-02-18 15:04:30.000,15:04:40.000,20098,10224025,2009.80,1022402.50,32,32,344,341,260,668,19394,696,0,8274,0
2015-02-18 15:04:40.000,15:04:50.000,18676,9455602,1867.60,945560.20,33,33,323,320,243,620,17968,632,0,7664,0
2015-02-18 15:04:50.000,15:05:00.000,17550,8387755,1755.00,838775.50,34,34,329,325,234,624,16868,640,0,7268,0
2015-02-18 15:05:00.000,15:05:10.000,11600,4321174,1160.00,432117.40,33,34,306,303,234,600,10910,568,0,4834,0
2015-02-18 15:05:10.000,15:05:20.000,19472,11303037,1947.20,1130303.70,35,35,311,307,233,608,18846,600,0,7822,0
2015-02-18 15:05:20.000,15:05:30.000,27814,17271888,2781.40,1727188.80,31,32,346,342,257,680,27078,632,0,10954,0
2015-02-18 15:05:30.000,15:05:40.000,29364,18082946,2936.40,1808294.60,32,32,342,340,265,668,28686,712,0,11488,0
2015-02-18 15:05:40.000,15:05:50.000,19596,10395831,1959.60,1039583.10,34,33,333,331,253,640,18896,660,0,7620,0
2015-02-18 15:05:50.000,15:06:00.000,21536,13189538,2153.60,1318953.80,34,33,342,339,275,676,20764,556,0,7950,0
2015-02-18 15:06:00.000,15:06:10.000,26974,15996640,2697.40,1599664.00,33,33,387,381,297,706,26200,688,0,10302,0
2015-02-18 15:06:10.000,15:06:20.000,29216,18308718,2921.60,1830871.80,33,33,392,390,301,836,28398,708,0,10948,0
2015-02-18 15:06:20.000,15:06:30.000,27136,16588085,2713.60,1658808.50,34,33,378,375,283,702,26372,720,0,10344,0
2015-02-18 15:06:30.000,15:06:40.000,16844,6451826,1684.40,645182.60,34,34,386,384,288,786,16022,660,0,6968,0
2015-02-18 15:06:40.000,15:06:50.000,24506,13780091,2450.60,1378009.10,34,33,374,368,280,694,23742,676,0,9748,0
2015-02-18 15:06:50.000,15:07:00.000,17254,6406945,1725.40,640694.50,33,33,401,397,305,836,16468,768,0,7316,0
2015-02-18 15:07:00.000,15:07:10.000,16318,6783275,1631.80,678327.50,34,34,380,371,282,730,15516,644,0,6806,0
2015-02-18 15:07:10.000,15:07:20.000,22486,12137770,2248.60,1213777.00,35,35,396,389,308,944,21542,734,0,8798,0
2015-02-18 15:07:20.000,15:07:30.000,21816,13124038,2181.60,1312403.80,34,33,365,356,279,732,21078,646,0,8402,0
2015-02-18 15:07:30.000,15:07:40.000,21490,12491983,2149.00,1249198.30,36,36,385,379,289,818,20672,664,0,8370,0
2015-02-18 15:07:40.000,15:07:50.000,17845,8917676,1784.50,891767.60,34,34,374,367,265,684,17090,672,0,7198,0
2015-02-18 15:07:50.000,15:08:00.000,16194,7290842,1619.40,729084.20,35,34,360,354,276,764,15496,692,0,6592,0
2015-02-18 15:08:00.000,15:08:10.000,15890,7577655,1589.00,757765.50,31,32,370,359,291,730,15088,612,0,6384,0
2015-02-18 15:08:10.000,15:08:20.000,16956,8970281,1695.60,897028.10,35,34,352,342,269,702,16172,616,0,6716,0
2015-02-18 15:08:20.000,15:08:30.000,17685,9917121,1768.50,991712.10,32,33,357,348,270,720,17008,636,0,7004,0
2015-02-18 15:08:30.000,15:08:40.000,16134,7269305,1613.40,726930.50,33,34,376,365,285,722,15378,660,0,6626,0
2015-02-18 15:08:40.000,15:08:50.000,15308,7531085,1530.80,753108.50,33,33,376,367,285,854,14456,670,0,5856,0
2015-02-18 15:08:50.000,15:09:00.000,20620,12086194,2062.00,1208619.40,36,35,350,341,282,732,19890,620,0,7854,0
2015-02-18 15:09:00.000,15:09:10.000,25282,15091595,2528.20,1509159.50,34,33,372,367,289,746,24564,754,0,9726,0
2015-02-18 15:09:10.000,15:09:20.000,22364,13350116,2236.40,1335011.60,35,35,345,340,261,694,21710,702,0,8504,0
2015-02-18 15:09:20.000,15:09:30.000,17026,7649421,1702.60,764942.10,35,35,352,348,271,756,16226,648,0,6804,0
2015-02-18 15:09:30.000,15:09:40.000,14112,4500797,1411.20,450079.70,35,35,382,378,280,818,13298,682,0,5950,0
2015-02-18 15:09:40.000,15:09:50.000,14708,4501528,1470.80,450152.80,35,34,360,355,280,756,13976,726,0,6156,0
2015-02-18 15:09:50.000,15:10:00.000,14596,6029112,1459.60,602911.20,34,33,378,373,269,858,13750,684,0,6000,0
2015-02-18 15:10:00.000,15:10:10.000,18348,10042301,1834.80,1004230.10,34,33,317,312,243,684,17682,612,0,7232,0
2015-02-18 15:10:10.000,15:10:20.000,16652,8116552,1665.20,811655.20,35,34,325,322,233,632,16028,644,0,6806,0
2015-02-18 15:10:20.000,15:10:30.000,14176,6162844,1417.60,616284.40,31,34,322,318,224,618,13534,606,0,5938,0
2015-02-18 15:10:30.000,15:10:40.000,14720,6192931,1472.00,619293.10,34,34,333,329,248,694,14052,666,0,6018,0
2015-02-18 15:10:40.000,15:10:50.000,13928,4948425,1392.80,494842.50,34,33,323,320,237,652,13298,656,0,5822,0
2015-02-18 15:10:50.000,15:11:00.000,12394,3960021,1239.40,396002.10,35,34,334,330,246,668,11710,666,0,5230,0
2015-02-18 15:11:00.000,15:11:10.000,14104,4760402,1410.40,476040.20,36,36,343,340,252,688,13426,672,0,6024,0
2015-02-18 15:11:10.000,15:11:20.000,13836,5245932,1383.60,524593.20,35,34,337,333,247,650,13178,680,0,5782,0
2015-02-18 15:11:20.000,15:11:30.000,22358,13221760,2235.80,1322176.00,33,33,330,327,228,656,21714,640,0,8896,0
2015-02-18 15:11:30.000,15:11:40.000,17628,9352318,1762.80,935231.80,33,33,322,319,238,664,16982,632,0,7014,0
2015-02-18 15:11:40.000,15:11:50.000,18890,10369035,1889.00,1036903.50,33,33,334,331,257,668,18196,664,0,7352,0
2015-02-18 15:11:50.000,15:12:00.000,25064,15758492,2506.40,1575849.20,34,34,348,346,265,676,24340,648,0,9596,0
2015-02-18 15:12:00.000,15:12:10.000,26584,16800881,2658.40,1680088.10,33,34,343,336,253,676,25970,712,0,10262,0
2015-02-18 15:12:10.000,15:12:20.000,25420,15224407,2542.00,1522440.70,35,34,350,334,264,656,24678,664,0,9926,0
2015-02-18 15:12:20.000,15:12:30.000,26146,15467953,2614.60,1546795.30,34,35,342,332,255,688,25490,664,0,10230,0
2015-02-18 15:12:30.000,15:12:40.000,18592,10680920,1859.20,1068092.00,37,36,337,326,247,620,17970,660,0,7230,0
2015-02-18 15:12:40.000,15:12:50.000,21884,12833360,2188.40,1283336.00,32,32,338,329,242,664,21232,652,0,8590,0
2015-02-18 15:12:50.000,15:13:00.000,16872,8484340,1687.20,848434.00,35,34,341,328,257,648,16152,652,0,6648,0
2015-02-18 15:13:00.000,15:13:10.000,13902,4899890,1390.20,489989.00,37,36,335,327,241,672,13272,680,0,5938,0
2015-02-18 15:13:10.000,15:13:20.000,14954,6260262,1495.40,626026.20,33,33,340,331,249,640,14218,652,0,6084,0
2015-02-18 15:13:20.000,15:13:30.000,25074,15145100,2507.40,1514510.00,31,31,337,329,253,692,24384,648,0,9608,0
2015-02-18 15:13:30.000,15:13:40.000,21320,11433160,2132.00,1143316.00,34,34,345,328,257,638,20622,660,0,8578,0
2015-02-18 15:13:40.000,15:13:50.000,24710,14301942,2471.00,1430194.20,34,33,347,332,271,694,23972,692,0,9584,0
2015-02-18 15:13:50.000,15:14:00.000,22146,12986047,2214.60,1298604.70,34,33,355,339,262,660,21410,672,0,8594,0
2015-02-18 15:14:00.000,15:14:10.000,13958,5515044,1395.80,551504.40,31,33,320,299,251,620,13292,616,0,5814,0
2015-02-18 15:14:10.000,15:14:20.000,13114,4129887,1311.40,412988.70,33,34,345,329,256,664,12396,680,0,5574,0
2015-02-18 15:14:20.000,15:14:30.000,14778,5578381,1477.80,557838.10,35,34,323,311,243,628,14068,596,0,6208,0
2015-02-18 15:14:30.000,15:14:40.000,16826,7823393,1682.60,782339.30,32,34,329,322,248,636,16160,652,0,6884,0
2015-02-18 15:14:40.000,15:14:50.000,15646,8076122,1564.60,807612.20,32,31,315,312,236,616,14954,608,0,6238,0
2015-02-18 15:14:50.000,15:15:00.000,17818,7950134,1781.80,795013.40,34,33,339,336,266,740,17110,736,0,7228,0
2015-02-18 15:15:00.000,15:15:10.000,18470,6921946,1847.00,692194.60,31,30,403,400,336,996,17622,1016,0,7380,0
2015-02-18 15:15:10.000,15:15:20.000,19226,8694430,1922.60,869443.00,32,32,376,372,323,948,18416,948,0,7536,0
2015-02-18 15:15:20.000,15:15:30.000,19870,9693045,1987.00,969304.50,33,31,343,342,275,800,19160,808,0,7922,0
2015-02-18 15:15:30.000,15:15:40.000,21358,10933950,2135.80,1093395.00,35,36,425,423,351,1044,20412,1036,0,8074,0
2015-02-18 15:15:40.000,15:15:50.000,20136,8612164,2013.60,861216.40,34,33,397,394,312,912,19254,896,0,7832,0
2015-02-18 15:15:50.000,15:16:00.000,23432,11869164,2343.20,1186916.40,33,31,383,378,324,1000,22664,1012,0,8744,0
2015-02-18 15:16:00.000,15:16:10.000,27622,15944902,2762.20,1594490.20,33,31,412,408,333,980,26744,960,0,10258,0
2015-02-18 15:16:10.000,15:16:20.000,25486,14363735,2548.60,1436373.50,32,32,398,394,310,916,24680,940,0,9584,0
2015-02-18 15:16:20.000,15:16:30.000,17604,7372022,1760.40,737202.20,31,31,431,426,354,1044,16638,1048,0,6398,0
2015-02-18 15:16:30.000,15:16:40.000,23328,13457056,2332.80,1345705.60,32,31,399,397,331,972,22434,964,0,8368,0
2015-02-18 15:16:40.000,15:16:50.000,19284,9152968,1928.40,915296.80,35,34,389,387,315,912,18398,916,0,7342,0
2015-02-18 15:16:50.000,15:17:00.000,20092,8857459,2009.20,885745.90,35,34,380,378,319,960,19250,944,0,7812,0
2015-02-18 15:17:00.000,15:17:10.000,24214,12748525,2421.40,1274852.50,33,32,427,424,338,1000,23316,1012,0,8958,0
2015-02-18 15:17:10.000,15:17:20.000,20538,9473591,2053.80,947359.10,36,35,422,418,360,1074,19612,1044,0,7464,0
2015-02-18 15:17:20.000,15:17:30.000,20996,9635926,2099.60,963592.60,33,32,421,419,340,978,20096,1004,0,7960,0
2015-02-18 15:17:30.000,15:17:40.000,20172,8249579,2017.20,824957.90,34,34,420,417,331,960,19290,976,0,7810,0
2015-02-18 15:17:40.000,15:17:50.000,19450,10096471,1945.00,1009647.10,33,31,377,373,293,822,18602,808,0,7154,0
2015-02-18 15:17:50.000,15:18:00.000,21450,10136782,2145.00,1013678.20,33,34,420,417,341,1028,20562,1028,0,7558,0
2015-02-18 15:18:00.000,15:18:10.000,21144,11047918,2114.40,1104791.80,34,33,386,382,296,856,20348,864,0,7612,0
2015-02-18 15:18:10.000,15:18:20.000,27546,16104849,2754.60,1610484.90,34,33,432,428,369,1132,26612,1120,0,9584,0
2015-02-18 15:18:20.000,15:18:30.000,23052,13271580,2305.20,1327158.00,35,35,403,394,339,936,22154,904,0,7862,0
2015-02-18 15:18:30.000,15:18:40.000,28138,17647984,2813.80,1764798.40,36,35,418,411,337,936,27250,944,0,9806,0
2015-02-18 15:18:40.000,15:18:50.000,22842,10960241,2284.20,1096024.10,33,32,440,429,361,1012,21908,1040,0,8874,0
2015-02-18 15:18:50.000,15:19:00.000,22150,11595004,2215.00,1159500.40,32,31,391,381,336,952,21290,910,0,8476,0
2015-02-18 15:19:00.000,15:19:10.000,20956,8845948,2095.60,884594.80,33,33,417,407,333,916,20086,962,0,8400,0
2015-02-18 15:19:10.000,15:19:20.000,20826,10369260,2082.60,1036926.00,33,32,424,417,362,1080,19880,1092,0,7746,0
2015-02-18 15:19:20.000,15:19:30.000,20126,9867462,2012.60,986746.20,33,33,393,386,312,908,19278,896,0,7424,0
2015-02-18 15:19:30.000,15:19:40.000,25240,14382249,2524.00,1438224.90,32,34,381,371,305,864,24432,864,0,9424,0
2015-02-18 15:19:40.000,15:19:50.000,22294,11924841,2229.40,1192484.10,34,33,404,397,316,880,21390,876,0,8268,0
2015-02-18 15:19:50.000,15:20:00.000,22704,11560284,2270.40,1156028.40,32,31,374,365,283,808,21944,824,0,8710,0
2015-02-18 15:20:00.000,15:20:10.000,23544,12348833,2354.40,1234883.30,33,34,408,398,334,972,22656,932,0,8612,0
2015-02-18 15:20:10.000,15:20:20.000,18902,8872406,1890.20,887240.60,34,33,391,382,310,848,18072,864,0,7032,0
2015-02-18 15:20:20.000,15:20:30.000,24580,12802597,2458.00,1280259.70,34,34,408,405,338,1012,23710,992,0,9466,0
2015-02-18 15:20:30.000,15:20:40.000,23040,11864247,2304.00,1186424.70,33,31,401,398,325,908,22154,936,0,8816,0
2015-02-18 15:20:40.000,15:20:50.000,22754,10413747,2275.40,1041374.70,34,34,394,391,315,952,21938,932,0,9012,0
2015-02-18 15:20:50.000,15:21:00.000,20890,9782015,2089.00,978201.50,32,32,377,374,296,888,20140,848,0,8362,0
2015-02-18 15:21:00.000,15:21:10.000,16950,7020675,1695.00,702067.50,32,32,384,381,308,852,16158,876,0,6536,0
