FlowID,Packets,TotalBytes,AvgSize,StdDevSize,BPS,IAT_ms,Duration_s,SYN,ACK,FIN,PSH,RST,URG
149.171.126.7:80-59.166.0.6:13700,30,12228,407.60,542.71,9112.47,46,1.3419,4,28,4,10,0,0
149.171.126.9:21-59.166.0.9:40484,106,8372,78.98,16.17,142303.51,0,0.0588,4,104,4,48,0,0
149.171.126.18:513-175.45.176.0:800,18,1141,63.39,7.60,2782.48,24,0.4101,4,16,4,0,0,0
149.171.126.3:29985-59.166.0.8:52858,82,25304,308.59,483.52,540060.61,0,0.0469,4,80,4,38,0,0
149.171.126.3:111-59.166.0.7:47062,8,1000,125.00,33.00,220994.48,0,0.0045,0,0,0,0,0,0
149.171.126.4:6881-59.166.0.8:63040,172,124368,723.07,697.43,286902.00,2,0.4335,4,170,4,62,0,0
149.171.126.3:111-59.166.0.3:26185,8,1008,126.00,32.03,220568.93,0,0.0046,0,0,0,0,0,0
149.171.126.8:53-59.166.0.8:29748,4,356,89.00,8.00,320143.88,0,0.0011,0,0,0,0,0,0
149.171.126.11:179-175.45.176.2:36904,16,1058,66.12,13.55,1481.42,47,0.7142,4,14,4,0,0,0
149.171.126.1:6881-59.166.0.5:22808,34,3728,109.65,88.55,30869.62,3,0.1208,4,32,4,12,0,0
149.171.126.7:6881-59.166.0.0:29617,34,3728,109.65,88.55,14602.14,7,0.2553,4,32,4,12,0,0
149.171.126.6:6881-59.166.0.6:23135,34,3728,109.65,88.55,205853.12,0,0.0181,4,32,4,12,0,0
149.171.126.6:6881-59.166.0.4:2002,34,3728,109.65,88.55,206126.29,0,0.0181,4,32,4,12,0,0
149.171.126.8:5190-59.166.0.0:16192,46,5268,114.52,96.71,187080.51,0,0.0282,4,44,4,20,0,0
149.171.126.4:1274-59.166.0.6:52011,122,52724,432.16,557.14,2293344.93,0,0.0230,4,120,4,58,0,0
149.171.126.15:1723-175.45.176.1:22615,18,3158,175.44,324.07,4187.38,44,0.7542,4,16,4,0,0,0
149.171.126.6:53-59.166.0.3:39725,4,388,97.00,8.00,374156.22,0,0.0010,0,0,0,0,0,0
149.171.126.4:46795-59.166.0.9:8338,8,952,119.00,33.39,343806.43,0,0.0028,0,0,0,0,0,0
149.171.126.1:52502-59.166.0.9:2004,82,25304,308.59,483.52,200795.12,1,0.1260,4,80,4,38,0,0
149.171.126.5:40853-59.166.0.3:14183,94,33480,356.17,526.47,338544.30,1,0.0989,4,92,4,44,0,0
149.171.126.1:61919-59.166.0.8:25768,58,8192,141.24,133.55,19126.91,7,0.4283,4,56,4,24,0,0
149.171.126.0:63248-59.166.0.3:22735,82,25304,308.59,483.52,539899.29,0,0.0469,4,80,4,38,0,0
149.171.126.1:80-59.166.0.0:15016,32,12364,386.38,531.87,10303.53,38,1.2000,4,30,4,10,0,0
149.171.126.2:25096-59.166.0.8:27062,114,50120,439.65,576.77,559699.83,0,0.0895,4,112,4,54,0,0
149.171.126.2:53-59.166.0.8:19867,4,388,97.00,8.00,378536.59,0,0.0010,0,0,0,0,0,0
149.171.126.4:5190-59.166.0.1:57718,36,3774,104.83,105.47,765517.24,0,0.0049,4,34,4,14,0,0
149.171.126.7:22-59.166.0.1:39387,252,29986,118.99,116.22,1538690.48,0,0.0195,4,250,4,132,0,0
149.171.126.4:25904-59.166.0.1:50592,8,984,123.00,38.61,538587.85,0,0.0018,0,0,0,0,0,0
149.171.126.3:6881-59.166.0.4:11677,172,124368,723.07,697.43,1436933.14,0,0.0866,4,170,4,62,0,0
149.171.126.7:21474-59.166.0.7:22724,58,8784,151.45,181.59,24126.43,6,0.3641,4,56,4,24,0,0
149.171.126.8:48182-59.166.0.0:48719,20,9568,478.40,628.42,42831.50,11,0.2234,4,18,4,4,0,0
149.171.126.1:22-59.166.0.5:36425,120,15858,132.15,161.11,974078.62,0,0.0163,4,118,4,58,0,0
149.171.126.4:53-59.166.0.5:32346,4,356,89.00,8.00,373949.58,0,0.0010,0,0,0,0,0,0
149.171.126.6:80-59.166.0.8:2254,32,12364,386.38,531.87,9685.30,41,1.2766,4,30,4,10,0,0
149.171.126.4:19518-59.166.0.0:54831,20,9568,478.40,628.42,37613.32,13,0.2544,4,18,4,4,0,0
149.171.126.12:111-175.45.176.2:29078,18,1206,67.00,17.62,513.32,138,2.3494,4,16,4,0,0,0
149.171.126.3:5490-59.166.0.2:43393,90,32764,364.04,528.41,1065703.88,0,0.0307,4,88,4,42,0,0
149.171.126.6:11366-59.166.0.4:35097,114,50120,439.65,576.77,550890.31,0,0.0910,4,112,4,54,0,0
149.171.126.9:51465-59.166.0.5:52189,90,32764,364.04,528.41,679835.66,0,0.0482,4,88,4,42,0,0
149.171.126.6:6881-59.166.0.0:13608,34,3728,109.65,88.55,207503.06,0,0.0180,4,32,4,12,0,0
149.171.126.0:63753-59.166.0.9:62615,20,9568,478.40,628.42,16145.44,31,0.5926,4,18,4,4,0,0
149.171.126.0:39521-59.166.0.3:11830,94,34828,370.51,529.18,572386.48,0,0.0608,4,92,4,44,0,0
149.171.126.1:6881-59.166.0.0:6686,34,3728,109.65,88.55,208501.12,0,0.0179,4,32,4,12,0,0
149.171.126.5:22-59.166.0.1:17688,202,34982,173.18,222.64,5993.81,29,5.8364,4,200,4,104,0,0
149.171.126.15:80-175.45.176.2:4770,20,6180,309.00,465.04,9768.45,33,0.6326,4,18,4,2,0,0
149.171.126.1:5190-59.166.0.8:60960,36,3774,104.83,105.47,713556.44,0,0.0053,4,34,4,14,0,0
149.171.126.8:53-59.166.0.6:52639,4,388,97.00,8.00,352406.90,0,0.0011,0,0,0,0,0,0
149.171.126.11:1723-175.45.176.3:56449,18,1398,77.67,47.60,1573.37,52,0.8885,4,16,4,0,0,0
149.171.126.7:80-59.166.0.5:37477,18,2156,119.78,102.15,553388.09,0,0.0039,4,16,4,4,0,0
149.171.126.0:6881-59.166.0.2:64884,34,3728,109.65,88.55,204936.51,0,0.0182,4,32,4,12,0,0
149.171.126.19:80-175.45.176.0:14661,18,1622,90.11,82.75,3184.81,29,0.5093,4,16,4,0,0,0
149.171.126.6:7529-59.166.0.1:44118,76,20182,265.55,437.78,1063946.44,0,0.0190,4,74,4,34,0,0
149.171.126.6:53-59.166.0.5:42242,4,388,97.00,8.00,402489.63,0,0.0010,0,0,0,0,0,0
149.171.126.8:53-59.166.0.5:42221,4,388,97.00,8.00,378906.25,0,0.0010,0,0,0,0,0,0
149.171.126.17:22492-175.45.176.1:7463,4,244,61.00,1.00,26.39,3081,9.2458,4,0,0,0,0,0
149.171.126.2:53-59.166.0.7:3862,4,360,90.00,8.00,344827.59,0,0.0010,0,0,0,0,0,0
149.171.126.15:80-175.45.176.0:2057,18,2126,118.11,115.01,4441.79,28,0.4786,4,16,4,2,0,0
149.171.126.2:5190-59.166.0.4:2958,44,4780,108.64,94.77,738794.44,0,0.0065,4,42,4,18,0,0
149.171.126.5:5190-59.166.0.1:56950,36,3774,104.83,105.47,43408.75,2,0.0869,4,34,4,14,0,0
149.171.126.9:6881-59.166.0.0:55542,1296,1140164,879.76,700.81,167060.33,5,6.8249,4,1294,4,468,0,0
149.171.126.1:1762-59.166.0.0:59170,138,67214,487.06,597.95,1821813.85,0,0.0369,4,136,4,66,0,0
149.171.126.9:40682-59.166.0.6:14114,36,7288,202.44,215.11,1320529.08,0,0.0055,4,34,4,24,0,0
149.171.126.3:80-59.166.0.7:62911,30,12228,407.60,542.71,10568.13,39,1.1571,4,28,4,10,0,0
149.171.126.9:53-59.166.0.8:7540,4,388,97.00,8.00,353369.76,0,0.0011,0,0,0,0,0,0
149.171.126.18:514-175.45.176.2:65396,2,2276,1138.00,0.00,569000000.00,0,0.0000,0,0,0,0,0,0
149.171.126.9:53-59.166.0.9:18536,4,388,97.00,8.00,372718.54,0,0.0010,0,0,0,0,0,0
149.171.126.11:143-175.45.176.2:45975,40,4574,114.35,177.91,1508.65,77,3.0319,4,38,4,10,0,0
149.171.126.8:63005-59.166.0.5:64679,134,63272,472.18,584.37,718771.30,0,0.0880,4,132,4,64,0,0
149.171.126.4:22-59.166.0.9:23294,120,15858,132.15,161.11,237473.42,0,0.0668,4,118,4,58,0,0
149.171.126.3:53-59.166.0.4:60526,4,388,97.00,8.00,395112.02,0,0.0010,0,0,0,0,0,0
149.171.126.19:111-175.45.176.3:41672,2,200,100.00,0.00,28571428.57,0,0.0000,0,0,0,0,0,0
149.171.126.1:43433-59.166.0.1:13634,14,2372,169.43,245.19,51087.66,3,0.0464,4,12,4,2,0,0
149.171.126.13:143-175.45.176.0:11645,44,14984,340.55,554.56,9623.98,36,1.5569,4,42,4,10,0,0
149.171.126.0:53-59.166.0.5:11857,4,356,89.00,8.00,313380.28,0,0.0011,0,0,0,0,0,0
149.171.126.7:5190-59.166.0.2:57210,36,3774,104.83,105.47,6087.89,17,0.6199,4,34,4,14,0,0
149.171.126.3:80-59.166.0.8:46903,30,12228,407.60,542.71,12158.68,34,1.0057,4,28,4,10,0,0
149.171.126.2:47221-59.166.0.2:47790,122,50272,412.07,550.73,1146114.04,0,0.0439,4,120,4,58,0,0
149.171.126.4:6881-59.166.0.7:7889,34,3728,109.65,88.55,210063.67,0,0.0177,4,32,4,12,0,0
149.171.126.8:80-59.166.0.4:46309,1114,1125332,1010.17,685.33,736019.11,1,1.5289,4,1112,4,372,0,0
149.171.126.3:53-59.166.0.8:11745,4,388,97.00,8.00,369523.81,0,0.0010,0,0,0,0,0,0
149.171.126.7:22-59.166.0.5:12546,224,25490,113.79,120.65,33113.53,3,0.7698,4,222,4,110,0,0
149.171.126.4:22-59.166.0.0:57403,120,15858,132.15,161.11,1200363.33,0,0.0132,4,118,4,58,0,0
149.171.126.8:22-59.166.0.5:25195,120,15858,132.15,161.11,1523196.62,0,0.0104,4,118,4,58,0,0
149.171.126.13:179-175.45.176.0:58744,16,1058,66.12,13.55,1991.25,35,0.5313,4,14,4,0,0,0
149.171.126.2:111-59.166.0.6:35215,8,1008,126.00,32.03,3875.45,37,0.2601,0,0,0,0,0,0
149.171.126.8:25-59.166.0.8:57193,94,42184,448.77,617.52,1665771.60,0,0.0253,4,92,4,36,0,0
149.171.126.3:13839-59.166.0.9:3014,14,2376,169.71,245.89,680022.90,0,0.0035,4,12,4,2,0,0
149.171.126.1:20549-59.166.0.0:11814,14,2394,171.00,249.04,6160.62,29,0.3886,4,12,4,2,0,0
149.171.126.7:25-59.166.0.6:45902,94,42090,447.77,616.15,1851900.74,0,0.0227,4,92,4,36,0,0
149.171.126.1:6881-59.166.0.2:54969,34,3728,109.65,88.55,191297.21,0,0.0195,4,32,4,12,0,0
149.171.126.4:53-59.166.0.6:58750,4,388,97.00,8.00,363295.88,0,0.0011,0,0,0,0,0,0
149.171.126.8:19518-59.166.0.9:14236,20,9568,478.40,628.42,42017.62,11,0.2277,4,18,4,4,0,0
149.171.126.2:53-59.166.0.1:38748,4,388,97.00,8.00,388388.39,0,0.0010,0,0,0,0,0,0
149.171.126.6:16398-59.166.0.3:47967,20,9568,478.40,628.42,17013.26,29,0.5624,4,18,4,4,0,0
149.171.126.6:57110-59.166.0.3:43075,122,52724,432.16,557.14,2207965.16,0,0.0239,4,120,4,58,0,0
149.171.126.0:52305-59.166.0.5:2176,86,29706,345.42,515.31,951170.31,0,0.0312,4,84,4,40,0,0
149.171.126.1:27030-59.166.0.7:56692,86,29706,345.42,515.31,2135739.45,0,0.0139,4,84,4,40,0,0
149.171.126.5:33955-59.166.0.0:18578,8,960,120.00,34.64,11837.97,11,0.0811,0,0,0,0,0,0
149.171.126.7:18060-59.166.0.4:63427,50,8240,164.80,192.25,31904.97,5,0.2583,4,48,4,24,0,0
149.171.126.13:179-175.45.176.0:57778,16,1058,66.12,13.55,2077.37,33,0.5093,4,14,4,0,0,0
149.171.126.6:111-59.166.0.1:33275,8,1000,125.00,33.00,188182.16,0,0.0053,0,0,0,0,0,0
149.171.126.9:53221-59.166.0.5:3244,158,79424,502.68,595.48,1088447.31,0,0.0730,4,156,4,76,0,0
149.171.126.3:24798-59.166.0.7:26717,114,50120,439.65,576.77,1285952.53,0,0.0390,4,112,4,54,0,0
149.171.126.7:55395-59.166.0.5:55243,122,50272,412.07,550.73,502508.95,0,0.1000,4,120,4,58,0,0
149.171.126.6:28050-59.166.0.3:30057,8,976,122.00,37.26,6136.51,22,0.1590,0,0,0,0,0,0
149.171.126.9:58666-59.166.0.4:60887,146,67812,464.47,579.43,552205.99,0,0.1228,4,144,4,70,0,0
149.171.126.3:49994-59.166.0.6:42052,74,20046,270.89,442.44,1721721.21,0,0.0116,4,72,4,34,0,0
149.171.126.3:80-59.166.0.2:20462,32,12364,386.38,531.87,11250.93,35,1.0989,4,30,4,10,0,0
149.171.126.9:10394-59.166.0.0:21774,22,9704,441.09,610.68,2870156.76,0,0.0034,4,20,4,4,0,0
149.171.126.0:80-59.166.0.9:48217,30,12228,407.60,542.71,11846.99,35,1.0322,4,28,4,10,0,0
149.171.126.6:6881-59.166.0.6:38540,34,3728,109.65,88.55,204464.43,0,0.0182,4,32,4,12,0,0
149.171.126.4:80-59.166.0.7:42040,1086,1123428,1034.46,676.99,619386.30,1,1.8138,4,1084,4,372,0,0
149.171.126.4:80-59.166.0.1:62377,32,12364,386.38,531.87,12270.97,32,1.0076,4,30,4,10,0,0
149.171.126.7:22-59.166.0.9:43764,222,25354,114.21,121.12,5734.14,20,4.4216,4,220,4,110,0,0
149.171.126.6:13839-59.166.0.2:64400,14,2376,169.71,245.89,4578.92,39,0.5189,4,12,4,2,0,0
149.171.126.1:22-59.166.0.5:30873,120,15858,132.15,161.11,14754.14,9,1.0748,4,118,4,58,0,0
149.171.126.4:8857-59.166.0.3:34364,122,52724,432.16,557.14,2304874.32,0,0.0229,4,120,4,58,0,0
149.171.126.2:80-59.166.0.0:42041,32,12364,386.38,531.87,10376.92,38,1.1915,4,30,4,10,0,0
149.171.126.7:25-59.166.0.9:54142,94,42274,449.72,618.91,1538299.19,0,0.0275,4,92,4,36,0,0
149.171.126.0:25-59.166.0.4:1356,94,42274,449.72,618.91,88278.29,5,0.4789,4,92,4,36,0,0
149.171.126.17:35367-175.45.176.1:19769,6,366,61.00,1.00,26.08,2806,14.0329,6,0,0,0,0,0
149.171.126.0:6881-59.166.0.8:41844,34,3728,109.65,88.55,226378.43,0,0.0165,4,32,4,12,0,0
149.171.126.4:6881-59.166.0.2:59570,34,3728,109.65,88.55,283196.60,0,0.0132,4,32,4,12,0,0
149.171.126.1:2508-59.166.0.5:13365,122,50272,412.07,550.73,1867528.51,0,0.0269,4,120,4,58,0,0
149.171.126.1:48387-59.166.0.1:5267,96,33616,350.17,522.58,1529112.08,0,0.0220,4,94,4,44,0,0
