FlowID,Packets,TotalBytes,AvgSize,StdDevSize,BPS,IAT_ms,Duration_s,SYN,ACK,FIN,PSH,RST,URG
149.171.126.1:5190-59.166.0.4:46277,50,5258,105.16,96.57,946534.65,0,0.0056,4,48,4,22,0,0
149.171.126.14:69-175.45.176.0:5992,2,1130,565.00,0.00,161428571.43,0,0.0000,0,0,0,0,0,0
149.171.126.4:22-59.166.0.2:21696,56,10098,180.32,226.16,1249907.17,0,0.0081,4,54,4,24,0,0
149.171.126.9:21-59.166.0.0:13387,106,8372,78.98,16.17,354580.49,0,0.0236,4,104,4,48,0,0
149.171.126.5:25-59.166.0.9:18177,92,42102,457.63,622.44,91939.62,5,0.4579,4,90,4,36,0,0
149.171.126.7:53-59.166.0.3:41637,4,388,97.00,8.00,380765.46,0,0.0010,0,0,0,0,0,0
149.171.126.7:33043-59.166.0.7:52870,70,16850,240.71,410.46,2034287.09,0,0.0083,4,68,4,32,0,0
149.171.126.6:6881-59.166.0.3:1060,34,3728,109.65,88.55,207757.47,0,0.0179,4,32,4,12,0,0
149.171.126.2:5190-59.166.0.0:14821,36,3774,104.83,105.47,895586.14,0,0.0042,4,34,4,14,0,0
149.171.126.5:32948-59.166.0.9:49670,22,9704,441.09,610.68,162494.35,2,0.0597,4,20,4,4,0,0
149.171.126.9:11267-59.166.0.6:13218,86,28714,333.88,501.98,534611.80,0,0.0537,4,84,4,40,0,0
149.171.126.6:6274-59.166.0.7:48107,20,9568,478.40,628.42,39000.53,12,0.2453,4,18,4,4,0,0
149.171.126.0:27010-59.166.0.4:56605,82,27032,329.66,504.62,5203.18,64,5.1953,4,80,4,38,0,0
149.171.126.0:53-59.166.0.1:24025,4,360,90.00,8.00,335507.92,0,0.0011,0,0,0,0,0,0
149.171.126.7:6881-59.166.0.5:60573,34,3728,109.65,88.55,276578.38,0,0.0135,4,32,4,12,0,0
149.171.126.1:50128-59.166.0.0:5661,20,9568,478.40,628.42,22032.48,22,0.4343,4,18,4,4,0,0
149.171.126.1:80-59.166.0.7:57343,30,12228,407.60,542.71,10744.77,39,1.1380,4,28,4,10,0,0
149.171.126.7:5190-59.166.0.4:51986,50,5258,105.16,96.57,745709.83,0,0.0071,4,48,4,22,0,0
149.171.126.1:26550-59.166.0.3:52976,146,72170,494.32,596.53,1801997.50,0,0.0401,4,144,4,70,0,0
149.171.126.8:111-59.166.0.6:58078,8,1000,125.00,33.00,217296.83,0,0.0046,0,0,0,0,0,0
149.171.126.8:5190-59.166.0.7:42536,46,6968,151.48,227.81,8762.15,17,0.7952,4,44,4,20,0,0
149.171.126.10:47535-175.45.176.0:6488,18,1406,78.11,48.86,581.68,142,2.4172,4,16,4,0,0,0
149.171.126.2:8344-59.166.0.3:10403,86,28714,333.88,501.98,2208769.23,0,0.0130,4,84,4,40,0,0
149.171.126.6:60400-59.166.0.3:24501,84,27168,323.43,500.17,180081.53,1,0.1509,4,82,4,38,0,0
149.171.126.1:25-59.166.0.4:59064,94,42256,449.53,618.63,923850.54,0,0.0457,4,92,4,36,0,0
149.171.126.5:53421-59.166.0.0:52872,98,35048,357.63,516.28,2203860.91,0,0.0159,4,96,4,46,0,0
149.171.126.8:53-59.166.0.7:32826,4,360,90.00,8.00,352595.49,0,0.0010,0,0,0,0,0,0
149.171.126.3:12136-59.166.0.1:15178,70,17392,248.46,415.66,531654.08,0,0.0327,4,68,4,32,0,0
149.171.126.4:80-59.166.0.6:31107,30,12228,407.60,542.71,12145.05,34,1.0068,4,28,4,10,0,0
149.171.126.1:47107-59.166.0.7:3024,122,51262,420.18,551.67,541109.41,0,0.0947,4,120,4,58,0,0
149.171.126.8:80-59.166.0.2:54575,32,12364,386.38,531.87,12279.46,32,1.0069,4,30,4,10,0,0
149.171.126.1:5311-59.166.0.5:39963,8,952,119.00,33.39,528888.89,0,0.0018,0,0,0,0,0,0
149.171.126.0:18827-59.166.0.8:1663,36,7104,197.33,195.43,1188953.97,0,0.0060,4,34,4,24,0,0
149.171.126.3:5190-59.166.0.9:40352,24,3708,154.50,212.49,910832.72,0,0.0041,4,22,4,12,0,0
149.171.126.2:53-59.166.0.6:55921,4,388,97.00,8.00,370229.01,0,0.0010,0,0,0,0,0,0
149.171.126.15:445-175.45.176.1:64458,22,2214,100.64,66.92,1760.17,59,1.2578,4,20,4,0,0,0
149.171.126.6:21-59.166.0.4:14392,106,8372,78.98,16.17,247905.01,0,0.0338,4,104,4,48,0,0
149.171.126.1:30857-59.166.0.0:4851,14,2426,173.29,254.64,6711.47,27,0.3615,4,12,4,2,0,0
149.171.126.8:53-59.166.0.5:55047,4,388,97.00,8.00,374517.37,0,0.0010,0,0,0,0,0,0
149.171.126.0:6881-59.166.0.2:32829,34,3728,109.65,88.55,286747.17,0,0.0130,4,32,4,12,0,0
149.171.126.2:58938-59.166.0.3:24607,36,7288,202.44,215.11,218793.16,0,0.0333,4,34,4,24,0,0
149.171.126.6:111-59.166.0.0:6286,8,1008,126.00,32.03,216494.85,0,0.0047,0,0,0,0,0,0
149.171.126.4:80-59.166.0.7:35021,32,12364,386.38,531.87,10650.69,37,1.1609,4,30,4,10,0,0
149.171.126.2:53-59.166.0.7:16170,4,388,97.00,8.00,369523.81,0,0.0010,0,0,0,0,0,0
149.171.126.5:8859-59.166.0.4:39772,58,8216,141.66,135.41,22212.13,6,0.3699,4,56,4,24,0,0
149.171.126.3:80-59.166.0.6:46288,1084,1123292,1036.25,676.34,229307.61,4,4.8986,4,1082,4,372,0,0
149.171.126.7:80-59.166.0.0:52322,30,12228,407.60,542.71,12150.85,34,1.0063,4,28,4,10,0,0
149.171.126.5:80-59.166.0.1:15135,30,12228,407.60,542.71,12161.73,34,1.0054,4,28,4,10,0,0
149.171.126.0:33761-59.166.0.1:18189,14,2370,169.29,244.84,10901.51,16,0.2174,4,12,4,2,0,0
149.171.126.3:53-59.166.0.8:43066,4,388,97.00,8.00,372003.84,0,0.0010,0,0,0,0,0,0
149.171.126.1:7100-59.166.0.9:14130,8,968,121.00,35.93,26096.57,5,0.0371,0,0,0,0,0,0
149.171.126.4:53-59.166.0.4:2027,4,388,97.00,8.00,369172.22,0,0.0011,0,0,0,0,0,0
149.171.126.5:53-59.166.0.2:27984,4,388,97.00,8.00,361266.29,0,0.0011,0,0,0,0,0,0
149.171.126.2:1030-59.166.0.0:63209,130,60684,466.80,584.62,2341745.77,0,0.0259,4,128,4,62,0,0
149.171.126.3:21-59.166.0.7:15035,106,8372,78.98,16.17,380303.44,0,0.0220,4,104,4,48,0,0
149.171.126.5:53859-59.166.0.1:5827,132,57830,438.11,571.46,861860.83,0,0.0671,4,130,4,62,0,0
149.171.126.3:6881-59.166.0.4:12477,678,572830,844.88,704.19,402351.89,2,1.4237,4,676,4,240,0,0
149.171.126.9:38724-59.166.0.6:11545,130,57200,440.00,575.17,400271.51,1,0.1429,4,128,4,62,0,0
149.171.126.1:53-59.166.0.7:2562,4,388,97.00,8.00,372003.84,0,0.0010,0,0,0,0,0,0
149.171.126.18:179-175.45.176.1:34523,18,1636,90.89,84.95,2500.47,38,0.6543,4,16,4,0,0,0
149.171.126.2:6881-59.166.0.8:41548,558,467562,837.92,703.20,615349.18,1,0.7598,4,556,4,198,0,0
149.171.126.6:53-59.166.0.4:58518,4,388,97.00,8.00,378906.25,0,0.0010,0,0,0,0,0,0
149.171.126.18:80-175.45.176.0:3970,16,1298,81.12,52.96,8085.56,10,0.1605,4,14,4,0,0,0
149.171.126.11:111-175.45.176.2:30878,18,1206,67.00,17.62,1641.10,43,0.7349,4,16,4,0,0,0
149.171.126.8:5190-59.166.0.7:21213,36,3774,104.83,105.47,703973.14,0,0.0054,4,34,4,14,0,0
149.171.126.6:5190-59.166.0.5:39028,36,3774,104.83,105.47,862234.41,0,0.0044,4,34,4,14,0,0
149.171.126.1:2269-59.166.0.9:49573,58,8200,141.38,134.17,24036.35,5,0.3412,4,56,4,24,0,0
149.171.126.4:58777-59.166.0.8:21738,8,976,122.00,37.26,555492.32,0,0.0018,0,0,0,0,0,0
149.171.126.6:22230-59.166.0.3:61989,138,65682,475.96,587.15,2282844.43,0,0.0288,4,136,4,66,0,0
149.171.126.0:6881-59.166.0.9:7665,34,3728,109.65,88.55,202092.48,0,0.0184,4,32,4,12,0,0
149.171.126.7:5190-59.166.0.6:22048,36,3774,104.83,105.47,188473.83,0,0.0200,4,34,4,14,0,0
149.171.126.3:25-59.166.0.2:28785,94,42238,449.34,618.35,56755.26,8,0.7442,4,92,4,36,0,0
149.171.126.12:520-175.45.176.2:2482,2,110,55.00,7.00,12222222.22,0,0.0000,0,0,0,0,0,0
149.171.126.4:80-59.166.0.3:1551,1104,1124652,1018.71,682.51,967255.37,1,1.1627,4,1102,4,372,0,0
149.171.126.6:22-59.166.0.0:32215,56,10098,180.32,226.16,1152739.73,0,0.0088,4,54,4,24,0,0
149.171.126.7:53-59.166.0.8:42653,4,356,89.00,8.00,356000.00,0,0.0010,0,0,0,0,0,0
149.171.126.0:53-59.166.0.0:13075,4,388,97.00,8.00,338568.94,0,0.0011,0,0,0,0,0,0
149.171.126.5:37661-59.166.0.3:63218,98,34556,352.61,516.46,1193767.92,0,0.0289,4,96,4,46,0,0
149.171.126.6:53-59.166.0.1:58710,4,388,97.00,8.00,387225.55,0,0.0010,0,0,0,0,0,0
149.171.126.0:80-59.166.0.5:25653,30,12228,407.60,542.71,11589.17,36,1.0551,4,28,4,10,0,0
149.171.126.8:9552-59.166.0.8:23586,8,960,120.00,34.64,560420.32,0,0.0017,0,0,0,0,0,0
149.171.126.1:52584-59.166.0.2:49408,182,91898,504.93,605.64,2339800.39,0,0.0393,4,180,4,88,0,0
149.171.126.7:21-59.166.0.1:35961,106,8370,78.96,16.13,386658.66,0,0.0216,4,104,4,48,0,0
149.171.126.4:80-59.166.0.6:7481,32,12364,386.38,531.87,9011.11,44,1.3721,4,30,4,10,0,0
149.171.126.7:53-59.166.0.2:44991,4,356,89.00,8.00,349362.12,0,0.0010,0,0,0,0,0,0
149.171.126.6:10908-59.166.0.1:10186,146,72170,494.32,596.53,1970834.81,0,0.0366,4,144,4,70,0,0
149.171.126.0:6881-59.166.0.3:50163,34,3728,109.65,88.55,208442.83,0,0.0179,4,32,4,12,0,0
149.171.126.6:80-59.166.0.7:65432,30,12228,407.60,542.71,12159.92,34,1.0056,4,28,4,10,0,0
149.171.126.19:80-175.45.176.2:51697,20,2512,125.60,142.59,1227.94,107,2.0457,4,18,4,2,0,0
149.171.126.4:7919-59.166.0.3:62687,146,72170,494.32,596.53,1568606.14,0,0.0460,4,144,4,70,0,0
149.171.126.0:8365-59.166.0.6:9004,130,60684,466.80,584.62,1198459.56,0,0.0506,4,128,4,62,0,0
149.171.126.4:38258-59.166.0.9:14247,98,35048,357.63,516.28,412048.25,0,0.0851,4,96,4,46,0,0
149.171.126.2:143-59.166.0.4:30132,248,26876,108.37,144.85,852313.45,0,0.0315,4,246,4,118,0,0
149.171.126.7:80-59.166.0.7:34588,32,12364,386.38,531.87,11867.61,33,1.0418,4,30,4,10,0,0
149.171.126.4:5190-59.166.0.0:51609,36,3774,104.83,105.47,867187.50,0,0.0044,4,34,4,14,0,0
149.171.126.4:46628-59.166.0.6:48534,86,28714,333.88,501.98,1381477.03,0,0.0208,4,84,4,40,0,0
149.171.126.9:25-59.166.0.3:30711,94,42204,448.98,617.82,72295.84,6,0.5838,4,92,4,36,0,0
149.171.126.13:179-175.45.176.1:26755,32,2178,68.06,20.07,18.81,3734,115.7707,8,28,8,0,0,0
149.171.126.0:41767-59.166.0.3:59261,130,57694,443.80,573.98,2072788.68,0,0.0278,4,128,4,62,0,0
149.171.126.4:5190-59.166.0.4:16450,36,3774,104.83,105.47,620009.86,0,0.0061,4,34,4,14,0,0
149.171.126.3:58044-59.166.0.3:53089,138,66490,481.81,591.93,2266575.76,0,0.0293,4,136,4,66,0,0
149.171.126.5:53-59.166.0.0:41936,4,388,97.00,8.00,369172.22,0,0.0011,0,0,0,0,0,0
149.171.126.1:53-59.166.0.8:32618,4,388,97.00,8.00,386839.48,0,0.0010,0,0,0,0,0,0
149.171.126.6:62605-59.166.0.9:60073,130,60684,466.80,584.62,489359.47,0,0.1240,4,128,4,62,0,0
149.171.126.3:36455-59.166.0.3:64387,36,7560,210.00,244.62,1487603.31,0,0.0051,4,34,4,24,0,0
149.171.126.1:53-59.166.0.4:54071,4,388,97.00,8.00,433519.55,0,0.0009,0,0,0,0,0,0
149.171.126.5:28238-59.166.0.4:30125,82,27032,329.66,504.62,13423.88,24,2.0137,4,80,4,38,0,0
149.171.126.4:65012-59.166.0.4:60662,78,22952,294.26,466.85,2097413.87,0,0.0109,4,76,4,36,0,0
149.171.126.2:33897-59.166.0.0:60398,8,968,121.00,35.93,523809.52,0,0.0018,0,0,0,0,0,0
149.171.126.2:143-59.166.0.5:53125,248,26384,106.39,141.24,830861.28,0,0.0318,4,246,4,118,0,0
149.171.126.15:25-175.45.176.3:46680,24,6204,258.50,424.00,2764.61,97,2.2441,4,22,4,0,0,0
149.171.126.4:21-59.166.0.4:26982,106,8372,78.98,16.17,371066.39,0,0.0226,4,104,4,48,0,0
149.171.126.3:21-59.166.0.3:64237,106,8372,78.98,16.17,392204.63,0,0.0213,4,104,4,48,0,0
149.171.126.1:54615-59.166.0.4:58138,56,8064,144.00,135.81,24119.45,6,0.3343,4,54,4,24,0,0
149.171.126.0:6881-59.166.0.7:5556,34,3728,109.65,88.55,193040.60,0,0.0193,4,32,4,12,0,0
149.171.126.9:22-59.166.0.8:20928,58,10234,176.45,223.17,123597.54,1,0.0828,4,56,4,24,0,0
149.171.126.1:5190-59.166.0.5:33365,36,3774,104.83,105.47,71274.79,1,0.0529,4,34,4,14,0,0
149.171.126.7:25-59.166.0.0:44288,92,42016,456.70,621.13,1718305.25,0,0.0245,4,90,4,36,0,0
149.171.126.15:80-175.45.176.3:20899,74,69999,945.93,695.19,29920.37,32,2.3395,4,72,4,0,0,0
149.171.126.6:6881-59.166.0.2:56049,34,3728,109.65,88.55,259122.82,0,0.0144,4,32,4,12,0,0
149.171.126.1:143-59.166.0.3:52730,248,26384,106.39,141.24,13325.94,8,1.9799,4,246,4,118,0,0
149.171.126.12:80-175.45.176.3:47294,18,2384,132.44,202.45,1557.09,90,1.5311,4,16,4,0,0,0
149.171.126.0:53-59.166.0.8:34514,4,388,97.00,8.00,397134.08,0,0.0010,0,0,0,0,0,0
149.171.126.3:111-59.166.0.1:8573,8,1000,125.00,33.00,231107.00,0,0.0043,0,0,0,0,0,0
149.171.126.5:63656-59.166.0.0:18744,36,7288,202.44,215.11,651761.76,0,0.0112,4,34,4,24,0,0
149.171.126.6:53-59.166.0.7:18827,4,388,97.00,8.00,365348.40,0,0.0011,0,0,0,0,0,0
149.171.126.5:25-59.166.0.3:12045,94,42238,449.34,618.35,1117023.25,0,0.0378,4,92,4,36,0,0
149.171.126.0:80-59.166.0.9:11920,18,2164,120.22,103.27,544676.57,0,0.0040,4,16,4,4,0,0
149.171.126.2:5190-59.166.0.7:1507,36,3774,104.83,105.47,719954.22,0,0.0052,4,34,4,14,0,0
149.171.126.7:80-59.166.0.1:41831,18,2142,119.00,100.36,519398.64,0,0.0041,4,16,4,4,0,0
149.171.126.9:5190-59.166.0.7:47095,46,6968,151.48,227.81,56949.97,2,0.1224,4,44,4,20,0,0
149.171.126.4:80-59.166.0.7:36154,30,12228,407.60,542.71,9158.61,46,1.3351,4,28,4,10,0,0
149.171.126.3:25-59.166.0.1:56254,90,41984,466.49,626.86,81092.46,5,0.5177,4,88,4,36,0,0
149.171.126.7:22-59.166.0.7:51486,56,10098,180.32,226.16,20741.33,8,0.4869,4,54,4,24,0,0
149.171.126.4:36710-59.166.0.1:17012,130,57200,440.00,575.17,252040.11,1,0.2269,4,128,4,62,0,0
149.171.126.4:61652-59.166.0.9:63501,130,57200,440.00,575.17,256913.53,1,0.2226,4,128,4,62,0,0
149.171.126.4:49455-59.166.0.2:6306,130,57200,440.00,575.17,2120717.78,0,0.0270,4,128,4,62,0,0
149.171.126.5:111-59.166.0.8:39776,8,1000,125.00,33.00,222222.22,0,0.0045,0,0,0,0,0,0
149.171.126.4:53-59.166.0.2:4287,4,388,97.00,8.00,367772.51,0,0.0011,0,0,0,0,0,0
149.171.126.2:111-59.166.0.4:15669,8,1008,126.00,32.03,235514.02,0,0.0043,0,0,0,0,0,0
149.171.126.2:80-59.166.0.1:42805,30,12228,407.60,542.71,11458.56,36,1.0672,4,28,4,10,0,0
149.171.126.2:80-59.166.0.3:51162,18,2142,119.00,100.36,546428.57,0,0.0039,4,16,4,4,0,0
149.171.126.9:111-59.166.0.1:42854,8,1016,127.00,31.00,209311.91,0,0.0049,0,0,0,0,0,0
149.171.126.9:22-59.166.0.1:14955,58,10234,176.45,223.17,27455.99,6,0.3727,4,56,4,24,0,0
149.171.126.5:53-59.166.0.4:6560,4,388,97.00,8.00,359925.79,0,0.0011,0,0,0,0,0,0
149.171.126.2:53-59.166.0.2:39698,4,388,97.00,8.00,352727.27,0,0.0011,0,0,0,0,0,0
149.171.126.9:53-59.166.0.6:38816,4,356,89.00,8.00,325411.33,0,0.0011,0,0,0,0,0,0
149.171.126.9:55609-59.166.0.4:57847,172,89996,523.23,611.03,691176.36,0,0.1302,4,170,4,82,0,0
149.171.126.9:143-59.166.0.9:34955,248,26290,106.01,140.96,758839.66,0,0.0346,4,246,4,118,0,0
149.171.126.7:6881-59.166.0.7:58347,1304,1140708,874.78,701.52,118612.76,7,9.6171,4,1302,4,468,0,0
149.171.126.12:25-175.45.176.1:23020,128,109536,855.75,705.39,33767.06,25,3.2439,4,126,4,12,0,0
149.171.126.9:80-59.166.0.8:17476,32,12364,386.38,531.87,9372.87,42,1.3191,4,30,4,10,0,0
149.171.126.4:6881-59.166.0.8:9511,34,3728,109.65,88.55,195860.04,0,0.0190,4,32,4,12,0,0
149.171.126.2:111-59.166.0.8:49508,8,1016,127.00,31.00,4785.34,30,0.2123,0,0,0,0,0,0
149.171.126.7:80-59.166.0.5:25958,30,12228,407.60,542.71,12159.57,34,1.0056,4,28,4,10,0,0
149.171.126.5:33674-59.166.0.6:8028,130,57694,443.80,573.98,1518862.71,0,0.0380,4,128,4,62,0,0
149.171.126.1:53-59.166.0.8:44645,4,388,97.00,8.00,370582.62,0,0.0010,0,0,0,0,0,0
149.171.126.3:80-59.166.0.5:13288,1100,1124390,1022.17,681.33,77352.85,13,14.5359,4,1098,4,372,0,0
149.171.126.1:44106-59.166.0.1:10335,70,17392,248.46,415.66,499253.65,0,0.0348,4,68,4,32,0,0
149.171.126.9:58894-59.166.0.9:26652,82,27032,329.66,504.62,2095341.45,0,0.0129,4,80,4,38,0,0
149.171.126.7:80-59.166.0.0:58533,30,12228,407.60,542.71,9774.66,43,1.2510,4,28,4,10,0,0
149.171.126.1:5190-59.166.0.9:12171,36,3774,104.83,105.47,888208.99,0,0.0042,4,34,4,14,0,0
149.171.126.8:31546-59.166.0.6:33622,70,17392,248.46,415.66,1960766.63,0,0.0089,4,68,4,32,0,0
149.171.126.4:53-59.166.0.0:8420,4,356,89.00,8.00,319282.51,0,0.0011,0,0,0,0,0,0
149.171.126.8:54179-59.166.0.3:47513,8,968,121.00,35.93,589166.16,0,0.0016,0,0,0,0,0,0
149.171.126.9:31375-59.166.0.2:2774,158,79888,505.62,598.34,2220529.78,0,0.0360,4,156,4,76,0,0
149.171.126.8:16057-59.166.0.0:36538,8,960,120.00,34.64,5514.36,24,0.1741,0,0,0,0,0,0
149.171.126.1:16673-59.166.0.6:57637,98,35048,357.63,516.28,2297175.07,0,0.0153,4,96,4,46,0,0
149.171.126.4:38524-59.166.0.2:9524,138,66490,481.81,591.93,1625751.87,0,0.0409,4,136,4,66,0,0
149.171.126.4:53-59.166.0.9:65277,4,388,97.00,8.00,386454.18,0,0.0010,0,0,0,0,0,0
149.171.126.6:53-59.166.0.6:22477,4,388,97.00,8.00,359925.79,0,0.0011,0,0,0,0,0,0
149.171.126.2:22976-59.166.0.2:60851,138,65682,475.96,587.15,1558735.58,0,0.0421,4,136,4,66,0,0
149.171.126.6:11153-59.166.0.2:41041,98,35048,357.63,516.28,2207330.90,0,0.0159,4,96,4,46,0,0
149.171.126.3:22-59.166.0.2:62626,58,10234,176.45,223.17,22698.89,7,0.4509,4,56,4,24,0,0
149.171.126.1:80-59.166.0.1:49908,18,2142,119.00,100.36,215341.31,0,0.0099,4,16,4,4,0,0
149.171.126.7:6881-59.166.0.6:47615,1320,1141796,865.00,702.83,67214.98,12,16.9872,4,1318,4,468,0,0
149.171.126.3:53-59.166.0.0:28069,4,356,89.00,8.00,365503.08,0,0.0010,0,0,0,0,0,0
149.171.126.6:29299-59.166.0.9:1566,8,968,121.00,35.93,593500.92,0,0.0016,0,0,0,0,0,0
149.171.126.2:56538-59.166.0.8:7210,14,2406,171.86,251.14,10782.37,17,0.2231,4,12,4,2,0,0
149.171.126.5:13641-59.166.0.8:14876,44,7712,175.27,189.80,41946.33,4,0.1839,4,42,4,24,0,0
149.171.126.3:6881-59.166.0.0:52692,34,3728,109.65,88.55,238546.20,0,0.0156,4,32,4,12,0,0
149.171.126.2:53-59.166.0.7:32893,4,388,97.00,8.00,348294.43,0,0.0011,0,0,0,0,0,0
149.171.126.3:22-59.166.0.5:22942,58,10234,176.45,223.17,43130.12,4,0.2373,4,56,4,24,0,0
149.171.126.8:6881-59.166.0.6:50515,34,3728,109.65,88.55,209532.37,0,0.0178,4,32,4,12,0,0
149.171.126.6:111-59.166.0.6:42013,8,1008,126.00,32.03,208998.55,0,0.0048,0,0,0,0,0,0
149.171.126.8:53-59.166.0.1:17593,4,356,89.00,8.00,404545.45,0,0.0009,0,0,0,0,0,0
149.171.126.5:50128-59.166.0.8:6740,20,9568,478.40,628.42,6031.53,83,1.5863,4,18,4,4,0,0
149.171.126.1:59316-59.166.0.8:61421,146,69960,479.18,588.60,1380099.42,0,0.0507,4,144,4,70,0,0
149.171.126.9:6881-59.166.0.8:4990,34,3728,109.65,88.55,175427.04,0,0.0213,4,32,4,12,0,0
149.171.126.9:53-59.166.0.9:34349,4,388,97.00,8.00,395918.37,0,0.0010,0,0,0,0,0,0
149.171.126.6:21134-59.166.0.1:60184,38,6840,180.00,152.15,243104.92,0,0.0281,4,36,4,24,0,0
149.171.126.3:53-59.166.0.6:3643,4,388,97.00,8.00,377065.11,0,0.0010,0,0,0,0,0,0
149.171.126.4:50782-59.166.0.7:52798,70,17392,248.46,415.66,529291.82,0,0.0329,4,68,4,32,0,0
149.171.126.7:45888-59.166.0.1:39451,86,28714,333.88,501.98,1030246.49,0,0.0279,4,84,4,40,0,0
149.171.126.4:13383-59.166.0.9:34023,8,976,122.00,37.26,552661.38,0,0.0018,0,0,0,0,0,0
149.171.126.5:22-59.166.0.7:47929,58,10234,176.45,223.17,17895.61,10,0.5719,4,56,4,24,0,0
149.171.126.2:40667-59.166.0.0:46193,20,9568,478.40,628.42,10662.60,47,0.8973,4,18,4,4,0,0
149.171.126.8:6881-59.166.0.8:30253,34,3728,109.65,88.55,23061.17,4,0.1617,4,32,4,12,0,0
149.171.126.7:40667-59.166.0.2:10304,22,9704,441.09,610.68,2293005.67,0,0.0042,4,20,4,4,0,0
149.171.126.4:53-59.166.0.7:27540,4,356,89.00,8.00,334272.30,0,0.0011,0,0,0,0,0,0
149.171.126.4:4093-59.166.0.9:6053,138,65682,475.96,587.15,552358.05,0,0.1189,4,136,4,66,0,0
149.171.126.15:445-175.45.176.1:61507,22,2220,100.91,67.53,1818.02,58,1.2211,4,20,4,0,0,0
149.171.126.1:111-59.166.0.9:42299,8,1008,126.00,32.03,225806.45,0,0.0045,0,0,0,0,0,0
149.171.126.12:80-175.45.176.2:1145,18,1562,86.78,73.33,1470.04,62,1.0626,4,16,4,0,0,0
149.171.126.8:53-59.166.0.4:43162,4,356,89.00,8.00,343629.34,0,0.0010,0,0,0,0,0,0
149.171.126.2:53-59.166.0.1:46236,4,356,89.00,8.00,328413.28,0,0.0011,0,0,0,0,0,0
